City,Crash Count,Crash Type,Latitude,Location,Longitude,Year
BURNABY,0 ,1 ,49.24808,CARIBOO PL & GAGLARDI WAY,-122.91286,2015
BURNABY,29,1 ,49.247738,CARIBOO RD & GAGLARDI WAY,-122.912997,2015
BURNABY,0 ,1 ,49.250758,CARIBOO RD & GOVERNMENT ST,-122.91422,2015
BURNABY,5,1 ,49.245914,CARIBOO RD & STORMONT AVE & TURNING LANE,-122.912457,2015
BURNABY,9,1 ,49.281043,CARLETON AVE & HASTINGS ST,-123.011408,2015
BURNABY,2,1 ,49.24295,CARLETON AVE & MOSCROP ST,-123.012552,2015
BURNABY,0 ,1 ,49.280136,CARLETON AVE & PENDER ST,-123.011442,2015
BURNABY,0 ,1 ,49.273843,CARLETON AVE & WILLIAM ST,-123.011497,2015
BURNABY,0 ,1 ,49.276951,CARNEGIE ST & KENSINGTON AVE,-122.970068,2015
BURNABY,0 ,1 ,49.256761,CENTAURUS DR & EASTLAKE DR,-122.910418,2015
BURNABY,4,1 ,49.221946,CENTRAL BLVD & IMPERIAL ST,-122.997103,2015
BURNABY,5,1 ,49.226821,CENTRAL BLVD & MCKAY AVE,-123.005649,2015
BURNABY,0 ,1 ,49.225973,CENTRAL BLVD & METROTOWN STATION LOOP,-123.003757,2015
BURNABY,0 ,1 ,49.229664,CENTRAL BLVD & OLIVE AVE,-123.01213,2015
BURNABY,12,1 ,49.22768,CENTRAL BLVD & WILLINGDON AVE,-123.007506,2015
